Name, "Número atómico", "Símbolo", "Masa", "Masa exacta", "Ionización", "Afinidad electrónica", "Electronegatividad", "Radio covalente", "Radio de Van der Waals", "Punto de fusión", "Punto de ebullición", "Familia"
"Prometio", "61", "Pm", "145 u", "144.912749", "5.582 eV", "0.5 eV", "Valor no definido", "0 pm", "243 pm", "1315 K", "3273 K", "Rare_Earth"
"Samario", "62", "Sm", "150,36 u", "151.9197324", "5.644 eV", "0.5 eV", "1,17", "0 pm", "242 pm", "1347 K", "2067 K", "Rare_Earth"
"Europio", "63", "Eu", "151,964 u", "152.9212303", "5.67 eV", "0.5 eV", "Valor no definido", "0 pm", "240 pm", "1095 K", "1800 K", "Rare_Earth"
"Gadolinio", "64", "Gd", "157,25 u", "157.9241039", "6.15 eV", "0.5 eV", "1,2", "0 pm", "238 pm", "1585 K", "3545 K", "Rare_Earth"
"Terbio", "65", "Tb", "158,925 u", "158.9253468", "5.864 eV", "0.5 eV", "Valor no definido", "0 pm", "237 pm", "1629 K", "3500 K", "Rare_Earth"
"Disprosio", "66", "Dy", "162,5 u", "163.9291748", "5.939 eV", "0.5 eV", "1,22", "0 pm", "235 pm", "1685 K", "2840 K", "Rare_Earth"
"Holmio", "67", "Ho", "164,93 u", "164.9303221", "6.021 eV", "0.5 eV", "1,23", "0 pm", "233 pm", "1747 K", "2968 K", "Rare_Earth"
"Erbio", "68", "Er", "167,259 u", "165.9302931", "6.108 eV", "0.5 eV", "1,24", "0 pm", "232 pm", "1802 K", "3140 K", "Rare_Earth"
"Tulio", "69", "Tm", "168,934 u", "168.9342133", "6.184 eV", "0.5 eV", "1,25", "0 pm", "230 pm", "1818 K", "2223 K", "Rare_Earth"
"Iterbio", "70", "Yb", "173,054 u", "173.9388621", "6.254 eV", "0.5 eV", "Valor no definido", "0 pm", "228 pm", "1092 K", "1469 K", "Rare_Earth"
"Lutecio", "71", "Lu", "174,967 u", "174.9407718", "5.426 eV", "0.5 eV", "1,27", "160 pm", "227 pm", "1936 K", "3668 K", "Rare_Earth"
"Hafnio", "72", "Hf", "178,49 u", "179.94655", "6.825 eV", "0 eV", "1,3", "150 pm", "225 pm", "2504 K", "4875 K", "Transition"
"Tantalio", "73", "Ta", "180,948 u", "180.9479958", "7.55 eV", "0.322 eV", "1,5", "138 pm", "220 pm", "3293 K", "5730 K", "Transition"
"Wolframio", "74", "W", "183,84 u", "183.9509312", "7.864 eV", "0.815 eV", "2,36", "146 pm", "210 pm", "3695 K", "5825 K", "Transition"
"Renio", "75", "Re", "186,207 u", "186.9557531", "7.833 eV", "0.15 eV", "1,9", "159 pm", "205 pm", "3455 K", "5870 K", "Transition"
"Osmio", "76", "Os", "190,23 u", "191.9614807", "8.438 eV", "1.078 eV", "2,2", "128 pm", "200 pm", "3300 K", "5300 K", "Transition"
"Iridio", "77", "Ir", "192,217 u", "192.9629264", "8.967 eV", "1.564 eV", "2,2", "137 pm", "200 pm", "2720 K", "4700 K", "Transition"
"Platino", "78", "Pt", "195,084 u", "194.9647911", "8.959 eV", "2.125 eV", "2,28", "128 pm", "205 pm", "2042 K", "4100 K", "Transition"
"Oro", "79", "Au", "196,967 u", "196.9665687", "9.226 eV", "2.309 eV", "2,54", "144 pm", "210 pm", "1338 K", "3130 K", "Transition"
"Mercurio", "80", "Hg", "200,59 u", "201.970643", "10.44 eV", "0 eV", "2", "149 pm", "205 pm", "234.3 K", "629.9 K", "Transition"
